category,kegg_drug,pubchem_cid,ligand_title,kegg_target,uniprot_id,target_uniprot_count,target_yamanishi_degree,ligand_yamanishi_degree,label,ligand_MolecularWeight,ligand_MonoisotopicMass,ligand_TPSA,ligand_Complexity,ligand_Charge,ligand_HBondDonorCount,ligand_HBondAcceptorCount,ligand_RotatableBondCount,ligand_HeavyAtomCount,ligand_IsotopeAtomCount,ligand_AtomStereoCount,ligand_DefinedAtomStereoCount,ligand_UndefinedAtomStereoCount,ligand_BondStereoCount,ligand_DefinedBondStereoCount,ligand_UndefinedBondStereoCount,ligand_CovalentUnitCount,ligand_Volume3D,ligand_FeatureCount3D,ligand_FeatureAcceptorCount3D,ligand_FeatureDonorCount3D,ligand_FeatureAnionCount3D,ligand_FeatureCationCount3D,ligand_FeatureRingCount3D,ligand_FeatureHydrophobeCount3D,ligand_ConformerModelRMSD3D,ligand_EffectiveRotorCount3D,ligand_ConformerCount3D,ligand_XLogP,ligand_MW,target_length,target_mass,target_degree_up,affinity,rank,total,inverted_rank,proportion
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:10,P11245,2,2,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,290,33571,3,-10.3354,6801,7060,259,0.963314447592068
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:124,P07327,1,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,375,39859,0,-10.0473,6673,7060,387,0.9451841359773371
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:125,P00325,2,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,375,39835,1,-10.2189,6759,7060,301,0.9573654390934844
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:126,P00326,1,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,375,39868,1,-11.8248,7040,7060,20,0.9971671388101983
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:128,P11766,2,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,374,39724,0,-9.3788,6154,7060,906,0.871671388101983
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:131,P40394,2,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,386,41481,0,-9.8542,6549,7060,511,0.9276203966005666
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:1725,P49366,1,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,369,40971,20,-8.1453,4448,7060,2612,0.6300283286118981
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:191,P23526,2,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,432,47716,3,-12.2837,7050,7060,10,0.9985835694050992
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:216,P00352,2,3,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,501,54862,3,-9.8074,6523,7060,537,0.9239376770538243
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:217,P05091,2,2,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,517,56381,0,-8.8135,5474,7060,1586,0.7753541076487253
