reason,category,kegg_drug,kegg_target
missing_kegg_drug_to_pubchem_cid,enzyme,D03736,hsa:1432
missing_kegg_drug_to_pubchem_cid,enzyme,D03736,hsa:225689
missing_kegg_drug_to_pubchem_cid,enzyme,D03736,hsa:5594
missing_kegg_drug_to_pubchem_cid,enzyme,D03736,hsa:5595
missing_kegg_drug_to_pubchem_cid,enzyme,D03736,hsa:5596
missing_kegg_drug_to_pubchem_cid,enzyme,D03736,hsa:5597
missing_kegg_drug_to_pubchem_cid,enzyme,D03736,hsa:5598
missing_kegg_drug_to_pubchem_cid,enzyme,D03736,hsa:5599
missing_kegg_drug_to_pubchem_cid,enzyme,D03736,hsa:5600
missing_kegg_drug_to_pubchem_cid,enzyme,D03736,hsa:5601
missing_kegg_target_to_uniprot,enzyme,D00043,hsa:94009
missing_kegg_target_to_uniprot,enzyme,D00160,hsa:94009
missing_kegg_target_to_uniprot,enzyme,D00203,hsa:28
missing_kegg_target_to_uniprot,enzyme,D00222,hsa:28
missing_kegg_target_to_uniprot,enzyme,D00317,hsa:28
missing_kegg_target_to_uniprot,enzyme,D00884,hsa:28
missing_kegg_target_to_uniprot,enzyme,D00885,hsa:28
missing_kegg_target_to_uniprot,enzyme,D01977,hsa:2051
missing_kegg_target_to_uniprot,enzyme,D02176,hsa:1384
missing_kegg_target_to_uniprot,enzyme,D03218,hsa:2051
missing_ligand_affinity_file,enzyme,D00005,hsa:1610
missing_ligand_affinity_file,enzyme,D00005,hsa:1728
missing_ligand_affinity_file,enzyme,D00005,hsa:1806
missing_ligand_affinity_file,enzyme,D00005,hsa:2232
missing_ligand_affinity_file,enzyme,D00005,hsa:2326
missing_ligand_affinity_file,enzyme,D00005,hsa:2639
missing_ligand_affinity_file,enzyme,D00005,hsa:27034
missing_ligand_affinity_file,enzyme,D00005,hsa:2936
missing_ligand_affinity_file,enzyme,D00005,hsa:34
missing_ligand_affinity_file,enzyme,D00005,hsa:35
missing_pubchem_descriptor_row,gpcr,D00606,hsa:150
missing_pubchem_descriptor_row,gpcr,D00606,hsa:151
missing_pubchem_descriptor_row,gpcr,D00606,hsa:152
missing_pubchem_descriptor_row,gpcr,D00613,hsa:150
missing_pubchem_descriptor_row,gpcr,D00613,hsa:151
missing_pubchem_descriptor_row,gpcr,D00613,hsa:152
missing_pubchem_descriptor_row,gpcr,D00613,hsa:1812
missing_pubchem_descriptor_row,gpcr,D00613,hsa:1816
missing_pubchem_descriptor_row,gpcr,D00715,hsa:1128
missing_pubchem_descriptor_row,ion_channel,D00633,hsa:170572
missing_uniprot_affinity_for_target,enzyme,D00002,hsa:107
missing_uniprot_affinity_for_target,enzyme,D00002,hsa:108
missing_uniprot_affinity_for_target,enzyme,D00002,hsa:109
missing_uniprot_affinity_for_target,enzyme,D00002,hsa:111
missing_uniprot_affinity_for_target,enzyme,D00002,hsa:112
missing_uniprot_affinity_for_target,enzyme,D00002,hsa:113
missing_uniprot_affinity_for_target,enzyme,D00002,hsa:114
missing_uniprot_affinity_for_target,enzyme,D00002,hsa:115
missing_uniprot_affinity_for_target,enzyme,D00002,hsa:196883
missing_uniprot_affinity_for_target,enzyme,D00007,hsa:31
